,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
142,40.6857,-73.99183000000001,140,2,4,0,0,1,0,0,0,1,0,0
143,40.74028,-73.83168,140,2,1,1,0,0,0,1,0,0,1,0
144,40.682809999999996,-73.93524000000001,115,3,124,170,0,1,0,0,0,1,0,0
145,40.715959999999995,-73.93938,160,3,11,188,0,1,0,0,0,1,0,0
146,40.71492,-73.95935,195,4,240,214,0,1,0,0,0,1,0,0
147,40.72354,-73.98295,195,3,30,248,0,0,1,0,0,1,0,0
148,40.71165,-73.96087,80,3,200,262,0,1,0,0,0,0,1,0
149,40.69101,-73.97312,44,8,27,280,0,1,0,0,0,0,1,0
150,40.73474,-74.00101,156,4,79,307,0,0,1,0,0,0,1,0
151,40.67386,-73.96641,85,15,9,339,0,1,0,0,0,0,1,0
152,40.71536,-73.96056999999999,125,3,155,1,0,1,0,0,0,0,1,0
153,40.6741,-73.96595,115,15,4,269,0,1,0,0,0,1,0,0
154,40.79295,-73.93997,69,2,34,10,0,0,1,0,0,0,1,0
155,40.73226,-74.00401,225,45,134,312,0,0,1,0,0,1,0,0
156,40.71363,-73.96398,125,6,27,189,0,1,0,0,0,1,0,0
157,40.77711,-73.9527,219,4,126,290,0,0,1,0,0,1,0,0
158,40.685590000000005,-73.98094,475,3,23,230,0,1,0,0,0,1,0,0
159,40.77456,-73.95323,99,1,234,164,0,0,1,0,0,1,0,0
160,40.710879999999996,-73.95055,69,4,202,53,0,1,0,0,0,0,1,0
161,40.74559,-73.92313,79,30,28,126,0,0,0,1,0,0,1,0
162,40.68306,-73.94659,135,2,309,3,0,1,0,0,0,1,0,0
163,40.70207,-73.98571,250,3,14,189,0,1,0,0,0,0,1,0
164,40.76123,-73.9642,250,3,4,365,0,0,1,0,0,1,0,0
165,40.66858,-73.99083,250,2,80,0,0,1,0,0,0,1,0,0
166,40.827040000000004,-73.94906999999999,80,3,2,0,0,0,1,0,0,1,0,0
167,40.68843,-73.96408000000001,70,2,294,336,0,1,0,0,0,0,1,0
168,40.6783,-74.00135,165,2,150,342,0,1,0,0,0,1,0,0
169,40.64524,-74.08088000000001,70,2,166,312,0,0,0,0,1,0,1,0
170,40.70641,-73.91765,50,2,47,37,0,1,0,0,0,0,1,0
171,40.83232,-73.93184000000001,40,1,219,353,1,0,0,0,0,0,1,0
172,40.71045,-73.9677,150,2,193,177,0,1,0,0,0,1,0,0
173,40.72518,-73.98034,125,1,84,310,0,0,1,0,0,0,1,0
174,40.70666,-74.01374,196,3,114,0,0,0,1,0,0,1,0,0
175,40.690979999999996,-73.97113,110,2,213,321,0,1,0,0,0,0,1,0
176,40.737559999999995,-74.00405,170,3,86,246,0,0,1,0,0,1,0,0
177,40.815259999999995,-73.94791,165,3,80,231,0,0,1,0,0,1,0,0
178,40.73423,-74.0046,150,26,38,225,0,0,1,0,0,1,0,0
179,40.82374,-73.9373,100,2,18,0,0,0,1,0,0,1,0,0
180,40.688629999999996,-73.97691,65,2,206,0,0,1,0,0,0,0,1,0
181,40.70382,-73.89797,350,8,10,365,0,0,0,1,0,1,0,0
182,40.80549,-73.95924000000001,99,4,122,233,0,0,1,0,0,0,1,0
183,40.71627,-73.9587,200,4,33,1,0,1,0,0,0,1,0,0
184,40.67994,-73.97863000000001,150,5,52,18,0,1,0,0,0,1,0,0
185,40.67992,-73.9475,90,3,126,343,0,1,0,0,0,0,1,0
186,40.67868,-73.97306999999999,120,3,51,250,0,1,0,0,0,0,1,0
187,40.76834,-73.95334,75,3,199,326,0,0,1,0,0,0,1,0
188,40.68237,-73.9415,175,26,30,364,0,1,0,0,0,1,0,0
189,40.74031,-73.99999,125,3,3,0,0,0,1,0,0,1,0,0
190,40.76307,-73.99665,275,1,41,299,0,0,1,0,0,1,0,0
191,40.71882,-73.98852,299,2,109,207,0,0,1,0,0,1,0,0
192,40.6693,-73.98804,135,5,151,162,0,1,0,0,0,1,0,0
193,40.77333,-73.95199000000001,130,14,0,0,0,0,1,0,0,0,1,0
194,40.72319,-73.99201,83,1,285,7,0,0,1,0,0,0,1,0
195,40.74859,-73.99671,123,1,375,328,0,0,1,0,0,0,1,0
196,40.67252,-73.76597,55,2,52,365,0,0,0,1,0,0,1,0
197,40.762440000000005,-73.99271,195,5,10,0,0,0,1,0,0,1,0,0
198,40.69546,-73.93503,80,2,11,0,0,1,0,0,0,0,1,0
199,40.717220000000005,-73.87856,98,30,33,240,0,0,0,1,0,1,0,0
200,40.70234,-73.89816,140,7,6,365,0,0,0,1,0,0,1,0
201,40.71546,-73.87854,265,7,38,365,0,0,0,1,0,1,0,0
